в,5692,
и,4453,
на,2385,
"апреля,",2111,
о,1674,
области,1561,
Белгородской,1517,
что,1318,
по,1192,
с,1001,
В,964,
не,948,
8,908,
ли,870,
из,823,
—,798,
Белгорода,751,
февраля,695,
из-за,553,
за,546,
Как,514,
её,507,
рублей,506,
без,504,
12,488,
9,476,
жители,471,
Белгородцы,449,
рассказали,446,
белгородцам,443,
7,438,
от,436,
Есть,431,
назвали,431,
сохранить,430,
платных,430,
горожане,428,
проблемах,427,
шанс,426,
Кто,426,
поездке,426,
Telegram,425,
самая,424,
18:30,424,
урожай,423,
17:29,423,
двухэтажном,423,
16:12,423,
Делитесь,422,
новостями,422,
сообщайте,422,
WhatsApp,422,
Нашли,422,
опечатку,422,
тексте?,422,
Выделите,422,
нажмите,422,
Ctrl+Enter,422,
Подпишитесь,422,
Популярное,422,
Останемся,422,
абрикос,422,
вишни,422,
мороза?,422,
"она,",422,
высокая,422,
волейболистка,422,
мира?,422,
Юная,422,
спортсменка,422,
15:08,422,
Находятся,422,
ВСУ,422,
думают,422,
парковках?,422,
Неоправданная,422,
роскошь?,422,
Питер,422,
поезде,422,
ракеты:,422,
новорождённых,422,
мальчиков,422,
необычными,422,
именами,422,
"19:09""",422,
2021,419,
для,411,
Белгороде,410,
СЮЖЕТ,378,
к,367,
а,358,
года,348,
Материалы,347,
теме,347,
млн,339,
На,299,
до,275,
По,242,
году,230,
будет,207,
Гладков,206,
как,192,
это,187,
ещё,183,
губернатора,181,
1,165,
он,163,
у,162,
№,162,
"Напомним,",157,
региона,156,
уже,155,
2020,153,
но,150,
которые,148,
этом,147,
время,145,
также,142,
тыс,142,
его,141,
коронавируса,140,
2021,139,
работы,138,
человек,136,
же,134,
будут,133,
В = 129,,
Вячеслав,127,
при,127,
Также,125,
после,120,
белгородцев,117,
За,114,
врио,113,
или,112,
который,112,
должны,110,
регионе,110,
их,109,
ООО,109,
сутки,107,
во,104,
15,103,
компании,100,
2,98,
чтобы,98,
улице,97,
под,96,
только,96,
суд,95,
города,94,
2019,93,
10,92,
мы,91,
ремонт,90,
день,89,
администрации,89,
областной,89,
год,88,
января,87,
могут,86,
более,86,
было,86,
тысяч,85,
словам,84,
"том,",84,
РЕКЛАМА,83,
лет,83,
–,82,
департамента,81,
С,81,
района,80,
районе,79,
них,77,
территории,75,
При,75,
жителей,74,
этого,74,
4,73,
которая,73,
регионального,72,
быть,71,
три,71,
есть,70,
